x,y,no2,pm10,pm2.5,NO2_Index,PM10_Index,PM2.5_Index,Worst_Index
370325,5808775,11,14,9,2,1,2,2
370325,5808825,11,14,9,2,1,2,2
370325,5808875,11,15,10,2,1,2,2
370325,5808925,11,14,9,2,1,2,2
370325,5808975,11,14,9,2,1,2,2
370325,5809025,11,14,9,2,1,2,2
370325,5809075,12,14,9,2,1,2,2
370325,5809125,12,14,9,2,1,2,2
370325,5809175,12,14,9,2,1,2,2
370325,5809225,12,14,9,2,1,2,2
370325,5809275,12,14,9,2,1,2,2
370325,5809325,12,14,9,2,1,2,2
370325,5809375,12,14,9,2,1,2,2
370325,5809425,12,14,9,2,1,2,2
370325,5809475,12,14,9,2,1,2,2
370325,5809525,12,14,9,2,1,2,2
370325,5809575,12,14,9,2,1,2,2
370325,5809625,12,14,9,2,1,2,2
370375,5808375,12,14,9,2,1,2,2
370375,5808425,11,14,9,2,1,2,2
370375,5808475,11,14,9,2,1,2,2
370375,5808525,10,14,9,1,1,2,2
370375,5808575,11,14,9,2,1,2,2
370375,5808625,10,14,9,1,1,2,2
370375,5808675,10,14,9,1,1,2,2
370375,5808725,15,19,11,2,2,3,3
370375,5808775,11,14,9,2,1,2,2
370375,5808825,11,14,9,2,1,2,2
370375,5808875,11,15,10,2,1,2,2
370375,5808925,11,15,10,2,1,2,2
370375,5808975,11,14,9,2,1,2,2
370375,5809025,11,14,9,2,1,2,2
370375,5809075,12,14,9,2,1,2,2
370375,5809125,11,14,9,2,1,2,2
370375,5809175,12,14,9,2,1,2,2
370375,5809225,12,14,9,2,1,2,2
370375,5809275,12,14,9,2,1,2,2
370375,5809325,12,14,9,2,1,2,2
370375,5809375,12,14,9,2,1,2,2
370375,5809425,12,14,9,2,1,2,2
370375,5809475,12,14,9,2,1,2,2
370375,5809525,12,14,9,2,1,2,2
370375,5809575,12,14,9,2,1,2,2
370375,5809625,12,14,9,2,1,2,2
370425,5808325,11,14,9,2,1,2,2
370425,5808375,11,14,9,2,1,2,2
370425,5808425,11,14,9,2,1,2,2
370425,5808475,11,14,9,2,1,2,2
370425,5808525,10,14,9,1,1,2,2
370425,5808575,10,14,9,1,1,2,2
370425,5808625,10,14,9,1,1,2,2
370425,5808675,11,14,9,2,1,2,2
370425,5808725,15,19,11,2,2,3,3
370425,5808775,11,15,10,2,1,2,2
370425,5808825,11,15,10,2,1,2,2
370425,5808875,11,15,10,2,1,2,2
370425,5808925,11,14,9,2,1,2,2
370425,5808975,11,14,9,2,1,2,2
370425,5809025,11,14,9,2,1,2,2
370425,5809075,11,15,10,2,1,2,2
370425,5809125,12,14,9,2,1,2,2
370425,5809175,11,14,9,2,1,2,2
370425,5809225,12,14,9,2,1,2,2
370425,5809275,12,14,9,2,1,2,2
370425,5809325,12,14,9,2,1,2,2
370425,5809375,12,14,9,2,1,2,2
370425,5809425,12,14,9,2,1,2,2
370425,5809475,12,14,9,2,1,2,2
370425,5809525,12,14,9,2,1,2,2
370425,5809575,12,14,9,2,1,2,2
370425,5809625,12,14,9,2,1,2,2
370425,5809675,13,14,9,2,1,2,2
370475,5808325,12,14,9,2,1,2,2
370475,5808375,11,14,9,2,1,2,2
370475,5808425,11,14,9,2,1,2,2
370475,5808475,10,14,9,1,1,2,2
370475,5808525,10,14,9,1,1,2,2
370475,5808575,10,14,9,1,1,2,2
370475,5808625,10,14,9,1,1,2,2
370475,5808675,11,14,9,2,1,2,2
370475,5808725,15,19,11,2,2,3,3
370475,5808775,11,15,10,2,1,2,2
370475,5808825,11,15,10,2,1,2,2
370475,5808875,11,14,9,2,1,2,2
370475,5808925,11,14,9,2,1,2,2
